content_id,content_type,title,release_year,director,viewability,genres,on_hulu,on_netflix,on_amazon_prime,on_disney_plus
1,Movie,Ricky Velez: Here's Everything,2021,,TV-MA,"Comedy, Stand Up",1,0,0,0
2,Movie,Silent Night,2020,,,"Crime, Drama, Thriller",1,0,0,0
3,Movie,The Marksman,2021,,PG-13,"Action, Thriller",1,0,0,0
4,Movie,Gaia,2021,,R,Horror,1,0,0,0
5,Movie,Settlers,2021,,,"Science Fiction, Thriller",1,0,0,0
6,TV Show,The Halloween Candy Magic Pet,2021,,,"Family, Kids",1,0,0,0
7,Movie,The Evil Next Door,2020,,,"Horror, Thriller",1,0,0,0
8,TV Show,The Next Thing You Eat,2021,,,"Cooking & Food, Documentaries, Lifestyle & Culture",1,0,0,0
9,TV Show,Queens,2021,,TV-14,"Drama, Music",1,0,0,0
10,TV Show,The Bachelorette,2003,,TV-14,"Reality, Romance",1,0,0,0
11,TV Show,The Real Queens of Hip-Hop: The Women Who Changed the Game,2021,,,"Music, News",1,0,0,0
12,Movie,Dream Horse,2020,,PG,"Comedy, Drama",1,0,0,0
13,Movie,Out of the Shadows: The Man Behind the Steele Dossier,2021,,,News,1,0,0,0
14,TV Show,Wakefield,2021,,,"Drama, Mystery",1,0,0,0
15,TV Show,Home Sweet Home,2021,,TV-PG,Reality,1,0,0,0
16,Movie,Showtime Championship Boxing: Lopez vs. Salido (R),2011,,,Sports,1,0,0,0
17,TV Show,Showtime Championship Boxing: Wilder vs. Molina,2015,,TV-14,Sports,1,0,0,0
18,TV Show,America's Book of Secrets,2012,,TV-14,"Documentaries, History",1,0,1,0
19,TV Show,Beyond Oak Island,2020,,TV-PG,"History, Reality",1,0,0,0
20,TV Show,Beyond Scared Straight,2011,,TV-14,"Documentaries, Reality, Teen",1,0,0,0
21,Movie,Cheer Camp Killer,2020,,TV-14,Thriller,1,0,0,0
22,TV Show,Hoarders,2009,,TV-PG,"Health & Wellness, Lifestyle & Culture, Reality",1,0,0,0
