content_id,service_id,rating,num_ratings
1,4,5.6,2615
2,4,9.7,811
3,4,3.9,1109
4,4,1.7,458
5,4,3.9,3386
6,4,2.1,1914
7,4,8.8,2743
8,4,9.7,453
9,4,5.7,4637
10,4,2.5,4734
11,4,7.1,2992
12,4,6.2,3375
13,4,9.2,1057
14,4,8.8,1744
15,4,4.0,4605
16,4,5.5,3965
17,4,1.8,1856
18,4,7.9,1514
18,2,3.9,4748
19,4,2.5,2959
20,4,8.3,2625
21,4,6.1,3381
22,4,6.6,1580
23,4,2.2,1519
24,4,9.4,2427
25,4,1.1,3987
26,4,7.9,2018
27,4,9.9,2628
27,2,6.3,178
28,4,3.4,1970
29,4,1.4,4397
30,4,1.9,512
31,4,1.9,1079
32,4,6.0,3073
33,4,5.3,1780
34,4,9.7,3331
35,4,3.1,1217
36,4,3.7,3975
37,4,9.1,2175
38,4,4.1,1692
39,4,1.2,3354
40,4,2.5,1404
41,4,3.3,4514
42,4,5.3,2705
43,4,6.1,4209
44,4,6.7,4625
45,4,4.0,2140
46,4,6.8,2876
47,4,4.6,4072
48,4,6.2,3091
49,4,6.9,2461
49,2,9.8,4672
50,4,4.8,1670
51,4,5.8,1786
52,4,8.7,1071
53,4,3.4,2884
54,4,8.3,1389
55,4,4.7,4724
56,4,6.0,2569
57,4,9.6,2376
58,4,3.3,386
59,4,4.6,546
60,4,6.0,2828
61,4,1.2,3297
62,4,8.8,1213
63,4,6.8,1623
64,4,3.2,3629
65,4,9.8,3163
66,4,8.8,3693
67,4,3.7,861
68,4,6.9,1468
69,4,4.2,98
70,4,1.4,4969
71,4,7.6,3589
72,4,9.7,1676
73,4,6.1,861
73,1,6.4,3179
74,4,8.2,4014
75,4,6.0,4339
76,4,6.8,1302
77,4,5.2,623
78,4,7.5,3255
79,4,6.1,1398
80,4,8.9,3258
81,4,6.1,2687
82,4,8.8,3244
83,4,7.3,218
84,4,2.5,4223
85,4,7.2,2379
86,4,2.4,4456
87,4,7.4,1548
88,4,5.3,274
89,4,7.5,2370
90,4,1.3,3645
90,3,1.1,4030
91,4,1.5,351
92,4,5.5,3077
93,4,1.4,2650
94,4,5.8,557
95,4,7.6,986
95,2,9.7,3524
96,4,1.3,3401
97,4,9.6,3291
98,4,6.7,1521
98,1,6.0,546
99,4,3.2,1539
100,4,5.7,4136
101,4,6.9,2833
102,4,8.0,4253
103,4,8.3,2731
103,2,2.7,752
104,4,1.2,1218
105,4,3.0,1109
106,4,7.9,358
107,4,6.7,4589
107,1,7.8,1833
108,4,1.0,3806
109,4,3.0,414
110,4,3.7,1697
111,4,10.0,1880
112,4,9.2,3918
113,4,2.5,731
114,4,8.0,1899
115,4,8.2,4373
115,2,6.3,2963
116,4,6.7,2819
117,4,8.6,1695
118,4,7.2,4054
119,4,3.5,2467
120,4,4.9,4305
121,4,7.3,4462
122,4,9.6,4840
123,4,8.8,1288
124,4,1.9,3626
125,4,6.4,442
126,4,8.7,878
127,4,4.5,2119
128,4,3.0,1785
129,4,1.1,4269
130,4,7.5,1562
131,4,5.2,38
132,4,8.1,741
133,4,9.4,372
134,4,6.5,1932
135,4,2.7,1021
136,4,1.6,1554
137,4,1.8,4186
138,4,5.2,285
139,4,8.9,2870
140,4,6.8,3443
141,4,2.4,915
142,4,6.1,3392
143,4,5.2,2879
144,4,3.7,889
144,1,8.7,988
145,4,8.7,3796
146,4,6.2,3351
147,4,5.7,2404
148,4,3.7,3067
148,2,5.1,4367
149,4,9.4,2841
150,4,8.5,515
151,4,5.6,4245
152,4,1.6,4314
153,4,6.4,4056
154,4,9.3,2173
155,4,5.2,2111
156,4,6.9,1752
157,4,3.1,39
158,4,7.7,3363
159,4,2.7,2871
160,4,8.3,4550
161,4,8.4,2311
162,4,1.0,2747
163,4,4.0,4532
164,4,4.4,4447
165,4,1.9,4529
166,4,9.3,903
167,4,2.1,4249
168,4,4.7,4768
169,4,4.8,4162
170,4,9.0,1923
171,4,2.8,2557
172,4,1.3,2048
173,4,9.2,3533
174,4,3.0,4754
175,4,9.5,4315
176,4,5.8,2307
177,4,6.3,3878
178,4,5.7,3775
179,4,3.4,705
179,3,6.9,4036
180,4,1.0,3317
181,4,4.0,3104
182,4,4.8,4766
183,4,2.0,3720
184,4,3.3,3464
185,4,5.9,310
186,4,2.2,501
187,4,7.5,2294
188,4,1.4,2605
189,4,9.6,697
190,4,7.9,3210
191,4,1.1,3815
192,4,6.5,2657
193,4,5.3,4358
194,4,9.8,93
195,4,8.4,3299
196,4,7.4,3525
197,4,7.2,747
198,4,1.3,4098
199,4,7.4,2929
200,4,2.5,1752
201,4,1.3,3354
202,4,8.0,2819
202,1,5.5,3555
203,4,4.6,1548
204,4,4.2,2747
205,4,6.5,497
206,4,1.2,2047
207,4,4.4,4294
208,4,2.7,2488
209,4,4.7,4872
210,4,5.7,724
211,4,8.1,965
212,4,6.1,887
213,4,3.8,530
214,4,4.7,2665
215,4,3.6,3257
215,1,7.9,4116
216,4,3.8,3538
217,4,1.6,3564
218,4,9.4,1907
219,4,6.0,999
220,4,5.0,2731
220,1,4.1,53
221,4,5.5,930
222,4,5.3,3072
223,4,3.5,800
224,4,5.9,942
225,4,1.4,2730
226,4,9.8,2956
227,4,2.0,1173
228,4,9.0,487
229,4,9.6,3632
230,4,6.8,3961
231,4,1.1,3557
232,4,5.3,2774
233,4,9.1,497
234,4,2.0,1660
235,4,3.7,606
236,4,9.4,966
237,4,4.8,1890
238,4,2.3,2311
239,4,3.2,2697
240,4,4.4,1542
241,4,3.5,3208
242,4,7.0,4680
243,4,7.0,4895
244,4,1.1,141
245,4,3.6,4481
246,4,7.2,3983
247,4,8.0,4365
248,4,7.2,702
249,4,7.7,2459
250,4,1.3,1662
251,4,2.5,1607
252,4,9.5,2724
253,4,1.8,4174
254,4,2.2,742
255,4,6.2,1156
256,4,8.0,471
257,4,8.3,3982
258,4,8.7,2049
259,4,2.5,194
260,4,2.0,4073
261,4,3.4,1343
262,4,1.9,2145
263,4,3.2,2174
264,4,8.9,1300
265,4,3.9,4283
266,4,9.0,4776
267,4,3.7,684
268,4,4.8,405
269,4,9.3,3163
270,4,3.2,3198
271,4,7.5,1363
272,4,3.0,1312
272,1,6.4,3267
273,4,7.5,1021
274,4,8.5,1438
275,4,8.9,4862
276,4,3.2,4392
277,4,3.5,2098
278,4,1.6,355
279,4,1.5,1785
280,4,7.0,337
281,4,7.5,2926
282,4,3.9,433
283,4,1.4,3239
284,4,7.1,4999
285,4,9.6,1799
286,4,4.4,1683
287,4,6.4,3068
288,4,6.0,1709
289,4,7.1,1635
290,4,5.1,4596
291,4,1.4,3827
292,4,8.7,264
293,4,3.6,2328
294,4,5.4,3610
295,4,8.4,1660
296,4,6.6,1122
297,4,9.0,155
298,4,1.6,895
299,4,5.4,373
299,2,5.3,3680
300,4,7.1,1996
300,1,8.6,1597
301,4,9.7,2686
302,4,4.8,1709
303,4,7.1,3361
304,4,9.8,3688
304,1,2.7,1804
305,4,7.9,1833
306,4,1.9,1509
307,4,9.6,320
308,4,8.3,1858
309,4,3.4,4561
310,4,1.5,2830
311,4,8.4,3459
312,4,9.4,3371
312,1,4.5,4276
313,4,1.9,2264
